"Date","Temp","Humid","p1","p2"
2022-02-08,22.24341085,83.29050388,18.61163298,17.41075532
2022-02-09,25.45448659,74.2080481,16.93696361,15.87883216
2022-02-10,24.72301415,77.53155604,14.75193566,13.98713195
2022-02-11,25.29813665,80.55403727,16.44654441,15.51837384
2022-02-12,25.25819165,83.87241113,14.05070303,13.29651172
2022-02-13,25.40618831,84.59153379,12.26823883,11.58515584
2022-02-14,25.00434416,78.10033741,14.38862968,13.66464901
2022-02-15,24.87049405,78.88019213,21.93015989,20.36477844
2022-02-16,25.45044322,65.60392571,16.81332068,15.99691561
2022-02-17,26.39124514,56.13258755,17.75936346,16.76939747
2022-02-18,26.39250426,60.59603918,13.58702001,12.85366539
2022-02-19,26.28303817,60.33270366,13.60447203,12.90145784
2022-02-20,26.27753321,57.00239089,10.60310175,10.09306378
2022-02-21,24.87869627,67.12172886,13.81553875,13.18960302
2022-02-22,23.97200167,87.22423736,26.19314156,24.10325745
2022-02-23,23.61505525,97.44037753,14.67673312,13.93919348
2022-02-24,23.53138343,94.31366354,17.1748907,16.08806258
2022-02-25,23.516759,92.00184672,24.00339649,21.74810536
2022-02-26,24.51765157,82.03687644,13.38634726,12.68970103
2022-02-27,25.38104247,77.06235521,11.86922038,11.29162486
2022-02-28,25.59625323,84.28832903,11.94546041,11.38831756
2022-03-01,25.38039129,76.69239662,13.90989314,13.23703028
2022-03-02,25.29407974,65.38638743,16.52786753,15.58596931
2022-03-03,25.17712418,55.3540305,12.89873748,12.25872878
2022-03-04,25.84826858,49.80929054,13.62431224,12.91431224
2022-03-05,25.98746677,48.92476263,12.68669707,11.91849107
2022-03-06,25.83196844,53.88561232,11.25162223,10.65629741
2022-03-07,25.7632329,57.33302117,13.00786531,12.38765306
2022-03-08,26.56613098,56.48151868,13.0082778,12.42267363
2022-03-09,26.32130062,59.3423676,15.0928716,14.41793774
2022-03-10,26.55757225,55.9417341,13.77739013,13.12428682
2022-03-11,27.00513213,53.31160475,15.03744722,14.17024952
2022-03-12,26.15299769,51.11837048,11.5982699,11.05980392
2022-03-13,26.21001869,45.2844486,9.342123364,8.902590654
2022-03-14,25.77115956,73.96828543,13.58255814,12.98580171
2022-03-15,27.0386118,50.09954281,14.43187188,13.6983777
2022-03-16,27.49909241,60.18556106,16.80084553,15.73099593
2022-03-17,27.24981906,64.89565742,14.70070309,13.86005223
2022-03-18,26.97480699,63.1583909,13.08053999,12.39603735
2022-03-19,26.96780822,53.48847032,11.84198174,11.22195512
2022-03-20,27.26524438,58.23273856,11.87948022,11.18764546
2022-03-21,27.05744511,62.66578842,11.11001197,10.51059058
2022-03-22,26.93758263,73.17398489,9.04465587,8.55242915
2022-03-23,27.40682057,74.09097587,9.05668405,8.587366362
2022-03-24,26.60025625,87.6810378,9.147837277,8.709215442
2022-03-25,27.38624,76.04712,8.918535255,8.503272302
2022-03-26,26.5601859,84.39837335,9.246714286,8.835150579
2022-03-27,26.24493294,80.04735469,10.92610738,10.46317301
2022-03-28,25.51379962,78.47716446,10.95428301,10.47700719
2022-03-29,25.14009831,83.27492978,10.77923567,10.34310828
2022-03-30,26.24167157,67.18628605,15.84520306,14.9592113
2022-03-31,25.18800151,73.1984103,14.48795911,13.70107156
2022-04-01,23.93170007,83.00586488,10.71683938,10.11143597
2022-04-02,NA,NA,NA,NA
2022-04-03,NA,NA,NA,NA
2022-04-04,NA,NA,NA,NA
2022-04-05,NA,NA,NA,NA
2022-04-06,NA,NA,NA,NA
2022-04-07,NA,NA,NA,NA
2022-04-08,NA,NA,NA,NA
2022-04-09,NA,NA,NA,NA
2022-04-10,NA,NA,NA,NA
2022-04-11,NA,NA,NA,NA
2022-04-12,NA,NA,NA,NA
2022-04-13,NA,NA,NA,NA
2022-04-14,NA,NA,NA,NA
2022-04-15,NA,NA,NA,NA
2022-04-16,NA,NA,NA,NA
2022-04-17,NA,NA,NA,NA
2022-04-18,NA,NA,NA,NA
2022-04-19,NA,NA,NA,NA
2022-04-20,NA,NA,NA,NA
2022-04-21,23.22439716,94.48113475,4.488072122,4.315603329
2022-04-22,22.24799016,95.39893355,14.2512376,13.64806426
2022-04-23,24.42412903,97.10219355,12.03817837,11.5513093
2022-04-24,27.24655172,94.64729064,11.7022941,11.19900338
2022-04-25,25.8666899,86.84188153,19.29800959,18.10136691
2022-04-26,25.50805085,91.90673258,14.09859031,13.44414537
2022-04-27,23.85467626,88.89252905,8.032287618,7.671499167
2022-04-28,23.00149007,90.97698675,9.205473214,8.875535714
2022-04-29,24.71337668,83.27041338,12.28317884,11.60122191
2022-04-30,25.21203134,83.83682149,10.63998283,10.16128792
2022-05-01,24.45161043,93.87837423,7.360257028,7.100008032
