"Date","Temp","Humid","p1","p2"
2018-07-02,19.98561279,68.5714032,266.8227352,91.14385017
2018-07-03,19.61550523,67.45714286,543.9363304,269.7382609
2018-07-04,18.62548263,74.91332046,226.9525981,80.93403738
2018-07-05,18.99128631,66.83858921,180.8547768,35.5528125
2018-07-06,20.75838509,57.69875776,286.5238717,86.68033186
2018-07-07,19.47142857,59.48571429,192.8710435,35.13433043
2018-07-08,20.85,56.6,279.654818,52.58894281
2018-07-09,19.8,58.6,197.7674609,34.84982609
2018-07-10,20.44594595,59.67162162,362.9608649,207.067027
2018-07-11,19.41176471,64.08235294,649.8494425,437.6769164
2018-07-12,20.83333333,57.37,679.4620055,445.470467
2018-07-13,20.2,60.3,NA,NA
2018-07-14,NA,NA,NA,NA
2018-07-15,NA,NA,NA,NA
2018-07-16,21.13333333,45.86666667,180.2427764,97.7397543
2018-07-17,21.71203358,46.82397388,110.89416297,67.471185862
2018-07-18,20.79057751,52.441843975,34.766802415,11.18125293
2018-07-19,19.07481273,57.8079588,18.34406816,9.533944367
2018-07-20,19.42663274,57.90759118,18.841556445,11.7389072
2018-07-21,18.75283019,63.6278826,251.474884945,205.49614397
2018-07-22,18.95903911,61.63040663,295.821747985,258.7810135095
2018-07-23,19.2541511,59.986467415,154.651999715,99.41689753
2018-07-24,20.7995370366667,56.6501851866667,24.4910370366667,11.75212487
2018-07-25,18.8235497233333,61.21883249,36.44467567,11.9600977733333
2018-07-26,18.048909425,65.119593345,15.416315765,8.117955586
2018-07-27,18.881473685,64.830526315,71.32276661,44.939504425
2018-07-28,19.03572187,65.0794586,133.34363625,115.33763512
2018-07-29,18.14710018,80.25782074,25.01391539,16.2033160635
2018-07-30,20.32623257,70.20782718,131.516212615,105.44623795
2018-07-31,20.58365396,67.1480643633333,28.8416916666667,19.5302775466667
2018-08-01,20.552918855,59.766666665,20.371041985,11.443385749
2018-08-02,20.95771858,57.224829235,21.91806979,11.6370739435
2018-08-03,21.71878587,57.12256071,37.51240792,18.32519653
2018-08-04,20.55817223,60.49595782,19.28462615,11.8466707895
2018-08-05,19.88476357,57.2619965,17.81031524,11.44357268
2018-08-06,20.027865965,53.666137565,18.474459555,7.961239892
2018-08-07,21.54702797,42.147202795,19.003769405,7.103925457
2018-08-08,21.23868373,49.245758685,30.18161534,12.41845844
2018-08-09,21.6356689533333,54.07016034,18.5504098666667,8.173839134
2018-08-10,19.5838463633333,61.89043161,25.3967485066667,12.3381967166667
2018-08-11,19.3774581,61.58040029,17.4596669133333,8.93460321433333
2018-08-12,18.7660930766667,62.0969383633333,10.8320169846667,4.77401081266667
2018-08-13,18.6771003266667,63.7290278866667,20.3037666833333,8.80823424233333
2018-08-14,19.5306284533333,56.1760195433333,18.2418360266667,9.05509665466667
2018-08-15,19.8869272766667,57.9984246766667,14.39037571,6.68778771433333
2018-08-16,18.6660372833333,66.66118862,18.5041196366667,9.41772192766667
2018-08-17,18.5888993366667,68.1780673866667,16.0123122333333,8.33476544233333
2018-08-18,19.034712545,65.514939025,9.4626661105,4.942410533
2018-08-19,18.65029036,64.94230546,7.293233008,4.933130051
2018-08-20,18.74651786,60.949464285,11.728724465,5.7052811905
2018-08-21,19.2101620866667,63.24031488,27.5509173525,13.9643381885
2018-08-22,20.4120845666667,59.9611156833333,22.8243390725,10.99561223525
2018-08-23,19.9235514266667,66.7529942566667,25.618811585,14.024422267
2018-08-24,20.08253995,67.5368668,22.634432035,12.83062034025
2018-08-25,21.2414200466667,57.7572320133333,13.3287376745,7.20780327675
2018-08-26,21.4886722366667,61.91290108,13.760514592,7.8007091605
2018-08-27,21.4559474166667,64.8120955166667,21.2171032775,11.181762669
2018-08-28,19.4985195033333,74.12475557,31.395604875,19.1686496925
2018-08-29,18.20634469,72.4932338833333,23.9075714875,13.147440235
2018-08-30,18.71531638,65.456551565,20.755896172,12.8924948902
2018-08-31,18.075826475,72.004360505,30.507541505,20.1428975825
2018-09-01,18.873208355,72.141585545,24.246567195,15.83192403375
2018-09-02,19.26850877,71.26204678,18.0160981553333,10.6447148026667
2018-09-03,20.01363095,64.349017855,24.67634661,13.1771390816667
2018-09-04,20.17162045,67.2622617,26.8014667766667,14.31489536
2018-09-05,20.335923345,65.309181185,22.1168701166667,10.376499902
2018-09-06,20.857899305,58.77777778,17.3420697166667,7.338925091
2018-09-07,20.13745645,60.02334495,18.07280691,6.66150467833333
2018-09-08,19.238983925,59.85061755,21.71293193,8.84940456933333
2018-09-09,22.20418566,53.9372802,14.2702799605,5.64517969875
2018-09-10,21.19162665,59.5492386533333,12.99296224,5.647484615
2018-09-11,20.5351568233333,59.7250325866667,13.6918536066667,6.08974574966667
2018-09-12,19.44666727,57.02407003,15.32142177,6.70070422933333
2018-09-13,21.02860396,54.60329605,15.3916710333333,7.36078504033333
2018-09-14,21.7226733466667,57.72770769,18.966664975,8.91086721425
2018-09-15,20.33766124,55.1847441133333,17.4608455775,8.49279120325
2018-09-16,21.0482751033333,50.5794744,13.43150606725,6.9494455975
2018-09-17,21.6960830733333,49.7891330833333,14.90586065,7.14927426825
2018-09-18,21.3809594266667,54.65940251,19.31122288,10.9171594185
2018-09-19,20.01482324,59.126631455,23.37002056,15.96868047
2018-09-20,19.80948,58.831626565,13.96644152,6.447385194
2018-09-21,19.55915899,66.396747565,11.779717721,5.44170211225
2018-09-22,20.47793345,65.00227671,14.59478684,6.89698111333333
2018-09-23,20.18220183,62.92825688,14.1550388,7.41919334633333
2018-09-24,20.4257874,56.578740155,17.3234827,8.64897197533333
2018-09-25,NA,NA,16.25507907,7.5791466105
2018-09-26,22.22535294,57.411411765,10.5425590693333,4.78405276
2018-09-27,21.19409414,64.07724562,16.415417635,7.3950045465
2018-09-28,20.2213267366667,68.3500692033333,17.7731701033333,8.75174100133333
2018-09-29,21.0888246566667,59.7296622966667,39.8165529566667,24.4623169433333
2018-09-30,21.0011558033333,53.6515753466667,16.9359963975,9.258658592
2018-10-01,18.504764705,57.962739615,19.248259555,11.18394384225
2018-10-02,18.682831235,67.40243555,28.8989931975,14.58833779
2018-10-03,19.610995925,67.32057654,23.3157444075,14.48375142575
2018-10-04,20.845444595,57.4963202,107.146183516667,71.3870571943333
2018-10-05,20.28077236,60.51904762,107.572284336667,65.86234941
2018-10-06,21.41602787,62.99390244,193.180811333333,153.698756317
2018-10-07,21.6265625,63.11145833,243.24228552,185.765548202667
2018-10-08,19.78090278,76.39045139,72.1399899066667,53.8656485766667
2018-10-09,19.66643234,78.97012302,48.3651246133333,36.7368597433333
2018-10-10,21.69917617,64.71685678,22.9864020166667,15.3626272733333
2018-10-11,20.02322357,64.196533795,20.8680950533333,11.1412483983333
2018-10-12,20.56649306,61.73645833,119.902904483333,87.5913938876667
2018-10-13,22.10931215,67.757267575,73.3563739633333,41.86093889
2018-10-14,19.11656543,77.62604028,15.5517266533333,6.79098827366667
2018-10-15,20.80034602,72.55605536,22.64672681,13.2174206286667
2018-10-16,20.99858335,65.70990685,18.7735172925,9.5329963475
2018-10-17,21.166765215,66.04615652,22.35184631,13.209725518
2018-10-18,21.48509532,69.59688042,18.60152085,9.9320723105
2018-10-19,21.24194107,70.66169844,37.2926379825,24.74048877925
2018-10-20,21.21968366,64.77012302,17.4861152375,8.93679314725
2018-10-21,21.04337979,63.66358885,12.8328366405,6.252453672
2018-10-22,20.49894737,64.33105263,37.779514255,27.560622579
2018-10-23,17.3773913,89.16226087,18.74464331,12.84268009025
2018-10-24,17.804,85.45843478,32.86902861,22.2535273875
2018-10-25,18.24565972,89.12413194,52.138758358,30.10997614975
2018-10-26,18.79581882,83.50766551,61.28718383275,33.61140277275
2018-10-27,18.092039295,89.57382888,13.42575026225,7.752144117
